,Symbol,Industry,Sector
91,CCL,Fast Moving Consumer Goods,Plantation & Plantation Products
92,CESC,Power,Power Generation & Distribution
93,CGPOWER,Capital Goods,Capital Goods - Electrical Equipment
94,CRISIL,Financial Services,Credit Rating Agencies
95,CAMPUS,Consumer Durables,Leather
96,CANFINHOME,Financial Services,Housing Finance
97,CANBK,Financial Services,Banks - Public
98,CAPLIPOINT,Healthcare,Pharmaceuticals
99,CGCL,Financial Services,NBFC
100,CARBORUNIV,Capital Goods,Capital Goods-Non Electrical Equipment
101,CASTROLIND,Oil Gas & Consumable Fuels,Chemicals
102,CEATLTD,Automobile and Auto Components,Tyres
103,CENTRALBK,Financial Services,Banks - Public
104,CDSL,Financial Services,Financial Services
105,CENTURYPLY,Consumer Durables,Plywood Boards/Laminates
106,CERA,Consumer Durables,Ceramic Products
107,CHALET,Consumer Services,Hotels & Restaurants
108,CHAMBLFERT,Chemicals,Fertilizers
109,CHENNPETRO,Oil Gas & Consumable Fuels,Refineries
110,CHOLAHLDNG,Financial Services,NBFC
111,CHOLAFIN,Financial Services,Holding
112,CIPLA,Healthcare,Pharmaceuticals
113,CUB,Financial Services,Banks - Private
114,CLEAN,Chemicals,Chemicals
115,COALINDIA,Oil Gas & Consumable Fuels,Mining & Mineral products
116,COCHINSHIP,Capital Goods,Aerospace & Defence
117,COFORGE,Information Technology,IT - Software
118,COLPAL,Fast Moving Consumer Goods,FMCG
119,CAMS,Financial Services,Financial Services
120,CONCORDBIO,Healthcare,Pharmaceuticals
121,CONCOR,Services,Logistics
122,COROMANDEL,Chemicals,Fertilizers
123,CRAFTSMAN,Automobile and Auto Components,Auto Ancillaries
124,CREDITACC,Financial Services,NBFC
125,CROMPTON,Consumer Durables,Consumer Durables
126,CUMMINSIND,Capital Goods,Capital Goods-Non Electrical Equipment
127,CYIENT,Information Technology,IT - Software
128,DCMSHRIRAM,Diversified,Diversified
129,DLF,Realty,Realty
130,DOMS,Fast Moving Consumer Goods,Printing & Stationery
131,DABUR,Fast Moving Consumer Goods,FMCG
132,DALBHARAT,Construction Materials,Cement
133,DATAPATTNS,Capital Goods,Aerospace & Defence
134,DEEPAKFERT,Chemicals,Chemicals
135,DEEPAKNTR,Chemicals,Chemicals
136,DELHIVERY,Services,Logistics
137,DEVYANI,Consumer Services,Quick Service Restaurant
138,DIVISLAB,Healthcare,Pharmaceuticals
139,DIXON,Consumer Durables,Consumer Durables
140,LALPATHLAB,Healthcare,Healthcare
141,DRREDDY,Healthcare,Pharmaceuticals
143,EIDPARRY,Fast Moving Consumer Goods,Sugar
144,EIHOTEL,Consumer Services,Hotels & Restaurants
145,EICHERMOT,Automobile and Auto Components,Automobile - 2 Wheelers
146,ELECON,Capital Goods,Capital Goods-Non Electrical Equipment
